 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Test Fixture Nails     197/197  Selected Drills           21-March-2018 15:57
                        197 Nails,  2368 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$187      1.5915    2.4105   1  A1   (T)  #543  DP2_DDI_TX_P1    T PIN TB_TP68.1
$188      1.7305    2.3985   1  A1   (T)  #546  DP2_DDI_TX_N3    T PIN TB_TP70.1
$189      2.4300    1.7900   1  A1   (T)  #1423 PCH_RSMRST_      T PIN TP2402.1
$190      1.1400    1.7800   1  A1   (T)  #1236 5V_USB30_VCCA    T PIN AFTP3504.1
$191      1.1390    1.5900   2  A1   (T)  #1209 USB2_USB20_CON_P T PIN AFTP3506.1
$192      1.2110    1.6130   2  A1   (T)  #1208 USB2_USB20_CON_N T PIN AFTP3505.1
$193      1.7294    0.6756   1  A1   (T)  #329  HDA_SDIN0_CPU    T PIN TB_TP58.1
$194      1.6650    0.4610   2  A1   (T)  #1492 HDA_BITCLK_CODEC_R T PIN TB_TP60.1
$195      1.7223    0.4097   2  A1   (T)  #1764 HDA_SDOUT_CODEC_R T PIN TB_TP56.1
$196      1.3530    0.3090   2  A1   (T)  #1501 AUD_SPK_R-_C     T PIN AFTP2903.1
$197      1.3650    0.2320   1  A1   (T)  #1499 AUD_SPK_R+_C     T PIN AFTP2904.1
$198      1.2710    0.2660   2  A1   (T)  #1505 AUD_SPK_L-_C     T PIN AFTP2901.1
$199      1.1960    0.2540   2  A1   (T)  #1503 AUD_SPK_L+_C     T PIN AFTP2902.1
$200      1.1140    1.0210   1  A1   (T)  #1210 5V_USB30_VCCB    T PIN AFTP3501.1
