 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
C3605         1.4780    1.0570    0.0  A1   (B)  'C603H40_B', 'C603H40_B'
C4001         8.8260    1.8450   90.0  A1   (T)  'C402H22', 'C402H22'
C4005         8.7560    1.7520    0.0  A1   (T)  'C603H36', 'C603H36'
C4006         8.8400    1.3610   90.0  A1   (T)  'C603H36', 'C603H36'
C4007         6.8590    2.2630   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4008         7.0110    2.4530   90.0  A1   (B)  'C603H38_B', 'C603H38_B'
C4009         8.5690    2.0060  180.0  A1   (T)  'C603H36', 'C603H36'
C4010         8.8650    1.4050   90.0  A1   (T)  'C402H22', 'C402H22'
C4011         6.9290    2.4620  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4012         4.7730    4.0370    0.0  A1   (B)  'C603H38_B', 'C603H38_B'
C4013         4.8740    4.0720  270.0  A1   (B)  'C603H38_B', 'C603H38_B'
C4014         8.8300    1.6030  270.0  A1   (T)  'C402H22', 'C402H22'
C4031         5.0034    3.9626   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4032         6.8500    2.5000    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4033         6.8640    2.5440  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4034         4.8740    3.8920  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4035         6.7838    2.5662  270.0  A1   (B)  'C603H40_B', 'C603H40_B'
C4036         6.7838    2.5152  270.0  A1   (B)  'C603H40_B', 'C603H40_B'
C4041         7.0090    2.3400  270.0  A1   (T)  'C402H22', 'C402H22'
C4043         7.0140    2.4940   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4045         6.7820    2.4650  270.0  A1   (B)  'C603H38_B', 'C603H38_B'
C4047         7.0610    2.2950  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C4301         1.6870    3.3530    0.0  A1   (T)  'C603H36', 'C603H36'
C4302         1.9190    3.3590   90.0  A1   (T)  'C603H35', 'C603H35'
C4303         2.0790    3.2390   90.0  A1   (T)  'C402H22', 'C402H22'
C4304         2.0790    3.2690   90.0  A1   (T)  'C402H22', 'C402H22'
C4305         2.0790    3.2080   90.0  A1   (T)  'C402H22', 'C402H22'
C4306         1.9530    3.2860  180.0  A1   (T)  'C603H40', 'C603H40'
C4343         2.1840    2.9450  180.0  A1   (T)  'C402H22', 'C402H22'
C4344         1.9580    3.0830   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5501         2.9225    3.5475  180.0  A1   (T)  'C402H22', 'C402H22'
C5502         2.8815    3.5435  180.0  A1   (T)  'C603H38', 'C603H38'
C5503         2.8160    3.3990   90.0  A1   (B)  'C805H54', 'C805H54'
C5505         2.3080    2.9980    0.0  A1   (B)  'C603H36_B', 'C603H36_B'
C5508         2.3250    3.4050    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5514         2.3780    3.5980   90.0  A1   (T)  'C603H40', 'C603H40'
C5515         1.9750    3.4740  270.0  A1   (T)  'C402H22', 'C402H22'
C5518         2.1370    3.4760  270.0  A1   (T)  'C603H40', 'C603H40'
C5531         2.1660    3.3750    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5532         2.3550    3.4050    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5533         2.1960    3.3750    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5534         2.2650    3.4050    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5535         1.9750    3.5150  270.0  A1   (T)  'C603H35', 'C603H35'
C5536         1.9990    3.3530  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5537         2.2950    3.4050    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5538         1.9990    3.3230  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5539         2.6270    3.5190   90.0  A1   (T)  'C603H36', 'C603H36'
C5540         2.6220    3.3210  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5541         2.6530    3.2330  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5542         3.1510    3.4580  180.0  A1   (B)  'C805H54', 'C805H54'
C5550         3.0870    3.5560  270.0  A1   (B)  'C805H54', 'C805H54'
C5599         2.0050    3.3930  270.0  A1   (B)  'C603H36_B', 'C603H36_B'
C5701         1.3490    2.2580  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5702         1.0770    2.7060    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5703         1.3490    2.2900  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5704         1.3490    2.2280  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5705         1.3490    2.3210  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5706         1.3492    2.1665  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5707         1.3490    2.1970  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5708         1.3490    2.1360  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C5709         1.3490    2.1060  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6001         7.7860    0.4440  180.0  A1   (T)  'C402H22', 'C402H22'
C6002         7.7980    0.4600   90.0  A1   (B)  'C603H36_B', 'C603H36_B'
C6003         8.2360    0.6510  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6004         8.2051    0.6511  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6005         8.1432    0.6506  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6006         8.1742    0.6506  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6007         7.9370    0.4100   90.0  A1   (T)  'C402H22', 'C402H22'
C6008         7.8800    0.5090    0.0  A1   (B)  'C603H36_B', 'C603H36_B'
C6009         8.2610    0.8520  270.0  A1   (T)  'C402H22', 'C402H22'
C6010         8.2570    0.7590  270.0  A1   (T)  'C402H22', 'C402H22'
C6011         8.2530    0.9880   90.0  A1   (T)  'C402H22', 'C402H22'
C6012         8.1440    0.9040  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6013         8.1740    0.9040  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6014         8.2350    0.9040    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6015         8.2040    0.9040    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6101         8.9900    2.0110   90.0  A1   (T)  'C402H22', 'C402H22'
C6103         1.4990    2.1960    0.0  A1   (T)  'C402H22', 'C402H22'
C6104         9.2220    2.1840  270.0  A1   (T)  'C402H22', 'C402H22'
C6106         8.0330    1.8520  270.0  A1   (B)  'C805H58', 'C805H58'
C6107         8.5790    2.3590    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6108         8.6090    2.3590    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6109         8.8850    2.0230  270.0  A1   (T)  'C402H22', 'C402H22'
C6110         8.8850    2.0540  270.0  A1   (T)  'C402H22', 'C402H22'
C6302         8.3430    0.5740    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6303         8.3730    0.5740    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6304         9.0600    0.7650  180.0  A1   (T)  'C402H22', 'C402H22'
C6305         9.1200    0.7650  180.0  A1   (T)  'C402H22', 'C402H22'
C6306         9.1732    0.0461   90.0  A1   (T)  'C402H22', 'C402H22'
C6307         9.1731    0.0155   90.0  A1   (T)  'C402H22', 'C402H22'
C6308         9.0900    0.7650  180.0  A1   (T)  'C402H22', 'C402H22'
C6311         8.5760    0.7090  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6312         8.5760    0.7400  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6313         8.6240    0.5820  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6314         8.6240    0.6120  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6315         8.6067    0.4917  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6316         8.6067    0.5217  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C6321         9.0380    0.6370  270.0  A1   (T)  'C603H40', 'C603H40'
C6322         9.0690    0.1740  180.0  A1   (T)  'C603H40', 'C603H40'
C6401         2.6080    2.0130   90.0  A1   (T)  'C402H22', 'C402H22'
C6402         2.1410    2.0440    0.0  A1   (T)  'C402H22', 'C402H22'
C6501         4.3660    0.4420  180.0  A1   (T)  'C402H22', 'C402H22'
C6502         4.4870    0.4510  180.0  A1   (T)  'C402H22', 'C402H22'
C6503         7.3690    0.4550   90.0  A1   (T)  'C402H22', 'C402H22'
C6504         7.5070    0.1410   90.0  A1   (T)  'C402H22', 'C402H22'
C7003         7.1150    2.0700   90.0  A1   (T)  'C402H22', 'C402H22'
C7004         7.1150    2.0250   90.0  A1   (T)  'C603H38', 'C603H38'
C7219         3.3350    3.9180   90.0  A1   (T)  'C603H36', 'C603H36'
C7220         3.3730    4.0170    0.0  A1   (T)  'C402H22', 'C402H22'
C7221         3.3280    4.0050   90.0  A1   (T)  'C402H22', 'C402H22'
C7222         3.1690    3.5900    0.0  A1   (T)  'C603H40', 'C603H40'
C7223         3.5280    3.8960  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7224         3.7710    3.8540  270.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7225         3.7990    3.8930   90.0  A1   (T)  'C402H22', 'C402H22'
C7226         3.6560    3.5810  180.0  A1   (T)  'C603H36', 'C603H36'
C7227         3.2190    3.5900    0.0  A1   (T)  'C603H40', 'C603H40'
C7228         3.8140    3.8190   90.0  A1   (T)  'C603H38', 'C603H38'
C7229         3.7800    3.5670  180.0  A1   (T)  'C603H38', 'C603H38'
C7230         3.8160    3.7660  270.0  A1   (T)  'C603H36', 'C603H36'
C7231         3.2690    3.5900    0.0  A1   (T)  'C603H40', 'C603H40'
C7232         3.3190    3.5900    0.0  A1   (T)  'C603H40', 'C603H40'
C7244         3.7970    3.8620   90.0  A1   (T)  'C402H22', 'C402H22'
C7301         1.7770    2.6950   90.0  A1   (T)  'C402H22', 'C402H22'
C7302         1.7770    2.7270   90.0  A1   (T)  'C402H22', 'C402H22'
C7303         1.4620    2.5350  180.0  A1   (T)  'C402H22', 'C402H22'
C7304         1.4320    2.5350  180.0  A1   (T)  'C402H22', 'C402H22'
C7305         1.3530    2.5180  180.0  A1   (T)  'C402H22', 'C402H22'
C7306         1.3230    2.5180  180.0  A1   (T)  'C402H22', 'C402H22'
C7307         1.5710    2.5110  180.0  A1   (T)  'C402H22', 'C402H22'
C7308         1.6410    2.4790  180.0  A1   (T)  'C402H22', 'C402H22'
C7309         1.6110    2.4790  180.0  A1   (T)  'C402H22', 'C402H22'
C7310         1.7280    2.4630  180.0  A1   (T)  'C402H22', 'C402H22'
C7311         1.6980    2.4630  180.0  A1   (T)  'C402H22', 'C402H22'
C7312         1.4710    2.4680  180.0  A1   (T)  'C402H22', 'C402H22'
C7313         1.5010    2.4680  180.0  A1   (T)  'C402H22', 'C402H22'
C7314         1.5410    2.5110  180.0  A1   (T)  'C402H22', 'C402H22'
C7315         1.6750    2.6020    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7316         1.6820    2.6900  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7317         1.2520    2.6790  270.0  A1   (T)  'C402H22', 'C402H22'
C7318         1.4710    2.6220   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7319         1.4840    2.6620   90.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7321         1.5310    2.8190  180.0  A1   (T)  'C402H22', 'C402H22'
C7322         1.5610    2.8190  180.0  A1   (T)  'C402H22', 'C402H22'
C7323         1.5910    2.8190  180.0  A1   (T)  'C402H22', 'C402H22'
C7324         1.6210    2.8190  180.0  A1   (T)  'C402H22', 'C402H22'
C7325         0.9320    3.2580  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7326         0.9420    3.4770  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7327         1.0570    3.4940   90.0  A1   (T)  'C402H22', 'C402H22'
C7328         1.0570    3.4640   90.0  A1   (T)  'C402H22', 'C402H22'
C7329         1.0300    3.2360    0.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7330         1.0460    3.4830  180.0  A1   (B)  'C805H58', 'C805H58'
C7331         1.6300    2.9160  180.0  A1   (T)  'C402H22', 'C402H22'
C7332         1.5992    2.9163  180.0  A1   (T)  'C402H22', 'C402H22'
C7333         1.4930    2.8900  180.0  A1   (T)  'C402H22', 'C402H22'
C7334         1.5230    2.8900  180.0  A1   (T)  'C402H22', 'C402H22'
C7401         1.4910    3.2590  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7601         6.8840    3.0590   90.0  A1   (T)  'C402H22', 'C402H22'
C7602         6.8840    3.0280   90.0  A1   (T)  'C402H22', 'C402H22'
C7603         6.8844    3.1231   90.0  A1   (T)  'C402H22', 'C402H22'
C7604         6.8844    3.0931   90.0  A1   (T)  'C402H22', 'C402H22'
C7605         6.7694    3.1786   90.0  A1   (T)  'C402H22', 'C402H22'
C7606         6.7695    3.2122   90.0  A1   (T)  'C402H22', 'C402H22'
C7607         6.7949    3.1179   90.0  A1   (T)  'C402H22', 'C402H22'
C7608         6.7950    3.1480   90.0  A1   (T)  'C402H22', 'C402H22'
C7610         7.7390    4.0910    0.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7611         7.8610    3.9990   90.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7612         7.6330    4.0720    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7613         7.8610    4.0490   90.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7614         7.5360    3.2450  225.0  A1   (T)  'C402H22', 'C402H22'
C7615         7.5280    3.7630    0.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7616         7.4910    3.2460   45.0  A1   (T)  'C402H22', 'C402H22'
C7620         7.5380    3.4182  225.0  A1   (T)  'C603H36', 'C603H36'
C7621         7.6290    3.5420  225.0  A1   (T)  'C603H36', 'C603H36'
C7622         7.7020    3.4690  135.0  A1   (T)  'C402H22', 'C402H22'
C7623         7.8611    3.9490   90.0  A1   (B)  'C603H38_B', 'C603H38_B'
C7624         7.5780    3.7850    0.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7625         7.7890    4.0910    0.0  A1   (B)  'C603H38_B', 'C603H38_B'
C7626         7.6890    4.0910    0.0  A1   (B)  'C603H40_B', 'C603H40_B'
C7627         7.5571    3.4699  225.0  A1   (T)  'C603H38', 'C603H38'
C7628         7.5750    3.3170   45.0  A1   (T)  'C603H40', 'C603H40'
C7629         7.5930    3.5060  225.0  A1   (T)  'C603H38', 'C603H38'
C7630         7.6798    3.4912  135.0  A1   (T)  'C402H22', 'C402H22'
C7631         7.6480    3.5810  225.0  A1   (T)  'C402H22', 'C402H22'
C7632         7.4681    3.5690  225.0  A1   (T)  'C402H22', 'C402H22'
C7633         7.4901    3.5910  225.0  A1   (T)  'C402H22', 'C402H22'
C7634         7.4880    3.5081  315.0  A1   (T)  'C603H36', 'C603H36'
C7801         7.8921    3.6277  225.0  A1   (T)  'C402H22', 'C402H22'
C7802         7.9131    3.6491  225.0  A1   (T)  'C402H22', 'C402H22'
C7805         7.8580    3.3750  315.0  A1   (T)  'C402H22', 'C402H22'
C7806         7.9370    3.1160  270.0  A1   (T)  'C402H22', 'C402H22'
C7807         8.7160    3.2760    0.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7808         7.9372    3.0855  270.0  A1   (T)  'C402H22', 'C402H22'
C7809         8.2921    2.8000   45.0  A1   (T)  'C402H22', 'C402H22'
C7813         8.6151    3.2760  180.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7814         8.6651    3.2760  180.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7817         9.2061    3.6130   90.0  A1   (B)  'C603H38_B', 'C603H38_B'
C7818         7.7930    3.4180  315.0  A1   (T)  'C603H40', 'C603H40'
C7820         9.2061    3.7150   90.0  A1   (B)  'C603H40_B', 'C603H40_B'
C7825         9.2060    3.6650  270.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7826         9.2030    3.9350  270.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7827         8.4643    3.9949  180.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7828         9.2029    3.8847  270.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7829         8.5153    3.9949  180.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7830         9.2060    3.5620  270.0  A1   (B)  'C603H36_B', 'C603H36_B'
C7831         9.1960    3.6750  270.0  A1   (T)  'C603H36', 'C603H36'
C7832         8.6663    3.1599    0.0  A1   (B)  'C603H40_B', 'C603H40_B'
C7833         8.6163    3.1599    0.0  A1   (B)  'C603H40_B', 'C603H40_B'
C7834         8.9147    3.2851  180.0  A1   (B)  'C603H38_B', 'C603H38_B'
C7835         8.5693    3.9949    0.0  A1   (B)  'C603H38_B', 'C603H38_B'
C7903         7.1380    3.0640  135.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7906         7.7540    2.9990  225.0  A1   (T)  'C402H22', 'C402H22'
C7907         7.8200    2.3800  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7908         7.7620    2.3800   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7909         7.9280    2.2720  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C7934         7.6430    3.6460   45.0  A1   (T)  'C603H38', 'C603H38'
C7935         7.6090    3.2110  225.0  A1   (T)  'C603H40', 'C603H40'
C7936         7.6780    3.1030  135.0  A1   (T)  'C402H22', 'C402H22'
C7937         7.6270    3.1160  225.0  A1   (T)  'C402H22', 'C402H22'
C7938         7.7630    3.5870  225.0  A1   (T)  'C603H40', 'C603H40'
C7939         7.5590    3.6280  315.0  A1   (T)  'C603H40', 'C603H40'
C8001         6.4620    4.0820  180.0  A1   (T)  'C603H36', 'C603H36'
C8002         6.4110    4.0820  180.0  A1   (T)  'C603H36', 'C603H36'
C8003         7.4990    2.7070  315.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8004         7.8000    3.0560  225.0  A1   (T)  'C603H36', 'C603H36'
C8008         6.4950    3.6800   90.0  A1   (T)  'C603H36', 'C603H36'
C8009         6.4950    3.7300   90.0  A1   (T)  'C603H36', 'C603H36'
C8010         6.4950    3.7800   90.0  A1   (T)  'C603H40', 'C603H40'
C8011         7.8101    3.1630   45.0  A1   (T)  'C402H22', 'C402H22'
C8012         7.8231    3.3250  135.0  A1   (T)  'C402H22', 'C402H22'
C8013         7.9191    3.3350  135.0  A1   (T)  'C402H22', 'C402H22'
C8014         7.8011    3.3460  135.0  A1   (T)  'C402H22', 'C402H22'
C8015         6.8460    3.3650  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8016         7.3170    2.8520  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8017         7.1730    2.9960  225.0  A1   (B)  'C603H40_B', 'C603H40_B'
C8018         7.7280    3.1740  315.0  A1   (T)  'C402H22', 'C402H22'
C8019         7.2450    2.9240  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8020         7.2090    2.9600  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8021         7.8501    3.2530   45.0  A1   (T)  'C603H36', 'C603H36'
C8022         7.8141    3.2170   45.0  A1   (T)  'C603H36', 'C603H36'
C8023         7.7191    3.3900  225.0  A1   (T)  'C603H36', 'C603H36'
C8024         7.6831    3.3540  225.0  A1   (T)  'C603H36', 'C603H36'
C8025         7.6471    3.3180  225.0  A1   (T)  'C603H36', 'C603H36'
C8026         7.2810    2.8880  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8028         7.5360    2.7040  315.0  A1   (T)  'C402H22', 'C402H22'
C8029         7.5140    2.7260  315.0  A1   (T)  'C402H22', 'C402H22'
C8030         7.8861    3.2890   45.0  A1   (T)  'C603H36', 'C603H36'
C8031         6.4950    3.8300   90.0  A1   (T)  'C603H36', 'C603H36'
C8032         6.4950    3.8800   90.0  A1   (T)  'C603H36', 'C603H36'
C8034         7.4920    2.7480  315.0  A1   (T)  'C402H22', 'C402H22'
C8035         7.7810    3.0180  225.0  A1   (T)  'C402H22', 'C402H22'
C8036         7.8900    3.0670   45.0  A1   (T)  'C402H22', 'C402H22'
C8037         7.9050    2.9000  315.0  A1   (T)  'C402H22', 'C402H22'
C8038         7.3530    2.8160  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8039         7.0709    3.0142  270.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8040         7.4250    2.7440  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8041         7.3890    2.7800  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8042         6.9590    3.3340  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8043         6.8820    3.3290  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8044         7.0470    3.3480   45.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8045         6.9640    3.2650  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8046         7.0000    3.2290  225.0  A1   (B)  'C603H36_B', 'C603H36_B'
C8047         7.8660    2.9900  225.0  A1   (T)  'C603H40', 'C603H40'
C8048         7.8160    2.9420  225.0  A1   (T)  'C603H36', 'C603H36'
C8089         7.8680    3.0450   45.0  A1   (T)  'C402H22', 'C402H22'
C8101         9.1971    2.6890   90.0  A1   (T)  'C402H22', 'C402H22'
C8102         9.1971    2.8940   90.0  A1   (T)  'C402H22', 'C402H22'
C8103         9.1971    2.7190   90.0  A1   (T)  'C402H22', 'C402H22'
C8104         8.6420    2.4390  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8105         9.1971    2.7230   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8106         9.1971    2.8160   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8107         9.2021    2.6920   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8108         9.1971    2.7810   90.0  A1   (T)  'C402H22', 'C402H22'
C8109         9.1971    2.8630   90.0  A1   (T)  'C402H22', 'C402H22'
C8110         8.6420    2.4690  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8111         9.1971    2.7690   90.0  A1   (B)  'C603H38_B', 'C603H38_B'
C8112         8.4379    2.9250  270.0  A1   (B)  'C603H38_B', 'C603H38_B'
C8113         8.5021    2.4880  180.0  A1   (B)  'C603H38_B', 'C603H38_B'
C8114         8.5541    2.4880  180.0  A1   (B)  'C603H38_B', 'C603H38_B'
C8115         9.2021    3.8420   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8116         9.1971    2.7500   90.0  A1   (T)  'C402H22', 'C402H22'
C8117         9.1990    2.9480   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8118         8.9340    2.5130    0.0  A1   (T)  'C402H22', 'C402H22'
C8119         9.2021    3.8120   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8120         8.5970    2.4840  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8121         9.1971    3.5320   90.0  A1   (T)  'C402H22', 'C402H22'
C8122         9.1640    2.9960  135.0  A1   (T)  'C402H22', 'C402H22'
C8123         9.1971    3.7720   90.0  A1   (B)  'C603H38_B', 'C603H38_B'
C8124         9.1971    3.5730   90.0  A1   (T)  'C603H38', 'C603H38'
C8125         9.1961    2.8230   90.0  A1   (T)  'C603H38', 'C603H38'
C8126         9.1981    2.8570   90.0  A1   (B)  'C603H38_B', 'C603H38_B'
C8127         9.1981    2.9070   90.0  A1   (B)  'C603H38_B', 'C603H38_B'
C8128         9.1971    3.4910   90.0  A1   (T)  'C603H38', 'C603H38'
C8129         9.1971    3.4400   90.0  A1   (T)  'C603H38', 'C603H38'
C8130         9.1971    3.6240   90.0  A1   (T)  'C603H38', 'C603H38'
C8131         9.1961    2.9260   90.0  A1   (T)  'C402H22', 'C402H22'
C8132         9.1961    2.9570   90.0  A1   (T)  'C402H22', 'C402H22'
C8136         8.6861    4.0670  270.0  A1   (T)  'C402H22', 'C402H22'
C8140         8.7940    3.8199    0.0  A1   (T)  'C402H22', 'C402H22'
C8141         8.7070    3.9370  180.0  A1   (T)  'C402H22', 'C402H22'
C8142         8.8221    2.4350  270.0  A1   (T)  'C402H22', 'C402H22'
C8143         8.8248    2.4720  180.0  A1   (B)  'C603H40_B', 'C603H40_B'
C8144         8.8758    2.4720  180.0  A1   (B)  'C603H40_B', 'C603H40_B'
C8145         8.9268    2.4720  180.0  A1   (B)  'C603H40_B', 'C603H40_B'
C8146         8.7172    3.1600    0.0  A1   (B)  'C603H40_B', 'C603H40_B'
C8501         4.6480    4.0580   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8601         7.3080    3.7070  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8602         7.2351    3.8200  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8603         7.2351    3.8500  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8604         7.3240    3.9370    0.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8605         7.4680    3.8420   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8606         7.4610    3.7390    0.0  A1   (B)  'C805H54', 'C805H54'
C8607         7.5050    3.8930   90.0  A1   (B)  'C805H54', 'C805H54'
C8608         7.4680    3.8120   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
C8630         4.9930    3.8640  180.0  A1   (T)  'C402H22', 'C402H22'
C8631         6.4071    3.2090  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
C9106         8.7580    1.1870    0.0  A1   (T)  'C603H36', 'C603H36'
C9108         8.8130    1.2050   90.0  A1   (T)  'C402H22', 'C402H22'
C9109         8.7120    1.4200  180.0  A1   (T)  'C603H36', 'C603H36'
C9112         8.6690    1.4230  180.0  A1   (T)  'C402H22', 'C402H22'
C9113         8.3180    1.1870  270.0  A1   (T)  'C402H22', 'C402H22'
EC1201        2.7900    0.6700    0.0  A1   (T)  'C402H22', 'C402H22'
EC1202        2.1070    0.8890  180.0  A1   (T)  'C402H22', 'C402H22'
EC1301        6.7270    0.7720  180.0  A1   (T)  'C402H22', 'C402H22'
EC1706        5.9940    2.8450  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
EC1707        5.2980    1.4670  180.0  A1   (T)  'C402H22', 'C402H22'
EC1712        5.0790    1.6820  270.0  A1   (T)  'C402H22', 'C402H22'
EC1801        5.3840    1.8490    0.0  A1   (T)  'C402H22', 'C402H22'
EC1803        5.3570    1.7410    0.0  A1   (T)  'C402H22', 'C402H22'
EC1804        6.1180    1.7520    0.0  A1   (T)  'C402H22', 'C402H22'
EC1901        4.9760    1.7420   90.0  A1   (T)  'C402H22', 'C402H22'
EC1903        4.9180    1.7420   90.0  A1   (T)  'C402H22', 'C402H22'
EC2002        6.9400    3.1750  270.0  A1   (B)  'C402H22_B', 'C402H22_B'
EC2201        6.6870    2.0380   90.0  A1   (T)  'C402H22', 'C402H22'
EC2401        2.7560    1.8180  180.0  A1   (T)  'C402H22', 'C402H22'
EC2701        1.4730    0.5850  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
EC2702        1.4430    0.5850  180.0  A1   (B)  'C402H22_B', 'C402H22_B'
EC2703        1.1840    0.4810   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
EC2704        1.0550    0.4050  180.0  A1   (T)  'C402H22', 'C402H22'
EC2705        1.3930    0.5400   90.0  A1   (B)  'C402H22_B', 'C402H22_B'
EC2709        1.9040    0.4290   90.0  A1   (T)  'C402H22', 'C402H22'
EC2710        1.9040    0.4600   90.0  A1   (T)  'C402H22', 'C402H22'
EC2711        1.7860    0.2880   90.0  A1   (T)  'C402H22', 'C402H22'
