 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
PR4620        2.2794    2.3964  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4621        1.8341    2.2611    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4622        2.1010    2.3210    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4623        2.0710    2.3210    0.0  A1   (B)  '0R0402-PAD_B', '0R0402-PAD_B'
PR4624        2.0410    2.3010    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4625        2.4490    2.4360   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4626        1.9060    2.3470   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4627        2.1420    2.4350   90.0  A1   (T)  'R402H14', 'R402H14'
PR4628        2.3244    2.3345   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4629        2.3242    2.3034   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4630        1.9060    2.3770   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4631        1.7780    2.4210  270.0  A1   (B)  'R402H14_B', 'R402H14_B'
PR4632        2.3440    2.5620  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4633        1.9060    2.4070   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4635        1.9420    2.7900  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4636        1.9083    2.4678   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4637        2.3440    2.5320   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4638        2.2950    2.5410  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4639        1.9183    2.5168    0.0  A1   (B)  'R402H14_B', 'R402H14_B'
PR4640        2.2905    2.6094    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4641        1.7910    2.5620  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4642        1.8933    2.6403  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4643        1.8435    2.5705    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4644        2.1407    2.5198  270.0  A1   (T)  'R402H16', 'R402H16'
