 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               21-March-2018 15:57

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    7.491       4.198       0.000
    7.490       4.193       0.000
    7.490       4.136       0.000
    7.488       4.121       0.000
    7.483       4.107       0.000
    7.473       4.095       0.000
    7.462       4.086       0.000
    7.448       4.081       0.000
    7.433       4.079       0.000
    7.418       4.081       0.000
    7.405       4.086       0.000
    7.393       4.095       0.000
    7.384       4.107       0.000
    7.378       4.121       0.000
    7.376       4.136       0.000
    7.376       4.193       0.000
    7.375       4.198       0.000
    7.373       4.203       0.000
    7.370       4.207       0.000
    7.366       4.210       0.000
    7.361       4.212       0.000
    7.356       4.213       0.000
    7.356       4.213       0.000
    5.508       4.213       0.000
    5.503       4.212       0.000
    5.498       4.210       0.000
    5.494       4.207       0.000
    5.491       4.203       0.000
    5.489       4.198       0.000
    5.488       4.193       0.000
    5.488       4.159       0.000
    5.488       4.154       0.000
    5.486       4.150       0.000
    5.482       4.146       0.000
    5.478       4.142       0.000
    5.474       4.140       0.000
    5.468       4.140       0.000
    5.272       4.140       0.000
    5.267       4.140       0.000
    5.262       4.142       0.000
    5.258       4.146       0.000
    5.255       4.150       0.000
    5.253       4.154       0.000
    5.252       4.159       0.000
    5.252       4.159       0.000
    5.252       4.193       0.000
    5.251       4.198       0.000
    5.249       4.203       0.000
    5.246       4.207       0.000
    5.242       4.210       0.000
    5.237       4.212       0.000
    5.232       4.213       0.000
    4.799       4.213       0.000
    4.794       4.212       0.000
    4.789       4.210       0.000
    4.785       4.207       0.000
    4.782       4.203       0.000
    4.780       4.198       0.000
    4.780       4.193       0.000
    4.780       4.150       0.000
    4.779       4.145       0.000
    4.777       4.140       0.000
    4.774       4.136       0.000
    4.770       4.133       0.000
    4.765       4.131       0.000
    4.760       4.130       0.000
    4.681       4.130       0.000
    4.676       4.131       0.000
    4.671       4.133       0.000
    4.667       4.136       0.000
    4.664       4.140       0.000
    4.662       4.145       0.000
    4.661       4.150       0.000
    4.661       4.150       0.000
    4.661       4.193       0.000
    4.661       4.198       0.000
    4.659       4.203       0.000
    4.656       4.207       0.000
    4.652       4.210       0.000
    4.647       4.212       0.000
    4.642       4.213       0.000
    4.406       4.213       0.000
    4.400       4.212       0.000
    4.396       4.210       0.000
    4.392       4.207       0.000
    4.388       4.203       0.000
    4.387       4.198       0.000
    4.386       4.193       0.000
    4.386       4.171       0.000
    4.385       4.163       0.000
    4.382       4.156       0.000
    4.377       4.149       0.000
    4.370       4.144       0.000
    4.362       4.141       0.000
    4.354       4.140       0.000
    4.102       4.140       0.000
    4.094       4.141       0.000
    4.087       4.144       0.000
    4.080       4.149       0.000
    4.075       4.156       0.000
    4.072       4.163       0.000
    4.071       4.171       0.000
    4.071       4.193       0.000
    4.070       4.198       0.000
    4.068       4.203       0.000
    4.065       4.207       0.000
    4.061       4.210       0.000
    4.056       4.212       0.000
    4.051       4.213       0.000
    3.933       4.213       0.000
    3.928       4.212       0.000
    3.923       4.210       0.000
    3.919       4.207       0.000
    3.916       4.203       0.000
    3.914       4.198       0.000
    3.913       4.193       0.000
    3.913       4.193       0.000
    3.913       4.140       0.000
    3.913       4.135       0.000
    3.911       4.130       0.000
    3.908       4.126       0.000
    3.904       4.123       0.000
    3.899       4.121       0.000
    3.894       4.120       0.000
    3.697       4.120       0.000
    3.692       4.121       0.000
    3.687       4.123       0.000
    3.683       4.126       0.000
    3.680       4.130       0.000
    3.678       4.135       0.000
    3.677       4.140       0.000
    3.677       4.193       0.000
    3.676       4.198       0.000
    3.675       4.203       0.000
    3.671       4.207       0.000
    3.667       4.210       0.000
    3.663       4.212       0.000
    3.657       4.213       0.000
    2.911       4.213       0.000
    2.901       4.211       0.000
    2.892       4.207       0.000
    2.884       4.201       0.000
    2.877       4.193       0.000
    2.873       4.183       0.000
    2.872       4.173       0.000
    2.872       3.917       0.000
    2.871       3.907       0.000
    2.867       3.898       0.000
    2.861       3.889       0.000
    2.852       3.883       0.000
    2.843       3.879       0.000
    2.833       3.878       0.000
    0.563       3.878       0.000
    0.552       3.877       0.000
    0.543       3.873       0.000
    0.535       3.866       0.000
    0.528       3.858       0.000
    0.525       3.849       0.000
    0.523       3.839       0.000
    0.523       3.596       0.000
    0.524       3.591       0.000
    0.526       3.587       0.000
    0.529       3.583       0.000
    0.533       3.579       0.000
    0.538       3.577       0.000
    0.543       3.577       0.000
    0.543       3.577       0.000
    0.696       3.577       0.000
    0.701       3.576       0.000
    0.706       3.574       0.000
    0.710       3.571       0.000
    0.713       3.567       0.000
    0.715       3.562       0.000
    0.716       3.557       0.000
